president,datetime,sentiment,tweet,genderpronoun
Obama,9/01/2014 0:00,0,"""A child's course in life should be determined not by the ZIP code she 's born in, but by the strength of her work ethic."" —President Obama",her
Obama,16/01/2014 0:00,0.525,The First Lady's birthday is tomorrow. Sign @OFA's card and wish her a happy birthday:http://ofa.bo/jg ,her
Obama,22/01/2014 0:00,0.55,"""Every woman should be able to make her own choices about her body and her he alth."" —President Obama on the 41st anniversary of Roe v. Wade",her
Obama,28/01/2014 0:00,0.25,"""Sergeant First Class Cory Remsburg never gives up, and he does not quit."" —President Obama #SOTU",he
Obama,29/01/2014 0:00,0.1,"If @PeggyOlson worked today, she still wouldn't make as much as her male coworkers. #StandWithWomenpic.twitter.com/QqvFSn6bPO",she
Obama,29/01/2014 0:00,0,"""We've got to give every woman the opportunity she deserves."" —President Obama #StandWithWomen #OpportunityForAll",she
Obama,29/01/2014 0:00,0.1,"If @PeggyOlson worked today, she still wouldn't make as much as her male coworkers. #StandWithWomenpic.twitter.com/QqvFSn6bPO",her
Obama,10/02/2014 0:00,0.3,Eva found her golden ticket: http://ofa.bo/h59  #ThisIsWhypic.twitter.com/OG2N5MXHpU,her
Obama,20/02/2014 0:00,0,Be prepared @FallonTonight—@Miche lleObama can hold her own.pic.twitter.com/iwLx46GGMH,her
Obama,24/02/2014 0:00,0.5,The marketplace gave Claire options she didn’t know were possible—and savings of more than $600 a month: http://ofa.bo/g93  #ThisIsWhy,she
Obama,7/03/2014 0:00,0.25,"""Obviously I noticed she was cute, yes."" —President Obama on meeting First Lady @Miche lleObama",she
Obama,20/03/2014 0:00,0.633333333,"""We've got to make sure that every woman has the opportunities that she deserves. Whe n a woman succeeds, America succeeds."" —President Obama",she
Obama,2/04/2014 0:00,0.2,President Obama wants to give America a raise. Watch him discuss the minimum wage at @UMich at 3:00 p.m. ET: http://ofa.bo/pTl ,him
Obama,15/04/2014 0:00,0,No. 42. he hit it out of the park. #JackieRobinsonDaypic.twitter.com/LcRhzWq7DA,he
Obama,7/05/2014 0:00,0,Watch: @WValderrama dreamed big whe n he moved to the U.S. Now he 's fighting for immigration reform so others can too:http://ofa.bo/qeI ,he
Obama,3/07/2014 0:00,0.3,Throwback to last week whe n a woman—not her boss—made her own decisions about her he alth care. #TBTpic.twitter.com/xmQ5e7DFmW,her
Obama,8/07/2014 0:00,0,President Obama is hitting theroad this summer to meet Americans who wrote him a letter. Read more:http://ofa.bo/e09g ,him
Obama,11/08/2014 0:00,0.6,"""Robin Williams was an airman, a doctor, a genie, a nanny ... and everything in between. But he was one of a kind."" —President Obama",he
Obama,30/10/2014 0:00,0.488888889,"""Bold, big-he arted, and Boston strong, Tom was the embodiment of the city he loved and led."" —President Obama on the passing Tom Menino",he
Obama,14/11/2014 0:00,0,"Funke's he alth coverage isn't in jeopardy, and she can afford it, too: http://ofa.bo/a1Zo  #ThisIsWhypic.twitter.com/vh8eVwN3lM",she
Obama,21/11/2014 0:00,0.2,“We didn’t raise the Statue of Liberty with her back to the world—we did it with her light shining.” —President Obama #ImmigrationAction,her
Obama,3/12/2014 0:00,0.5,Read the President's latest op-ed on why he acted on immigration: http://ofa.bo/b1qv  #ImmigrationAction,he
Obama,4/01/2015 0:00,0.5,"""I will miss Stuart Scott ... Over the years, he entertained us, and in the end, he inspired us—with courage and love."" —President Obama",he
Obama,4/01/2015 0:00,0.5,"""I will miss Stuart Scott ... Over the years, he entertained us, and in the end, he inspired us—with courage and love."" —President Obama",he
Obama,9/02/2015 0:00,-0.5,Joshua got covered so that he could stay he althy—without worrying about expensive premiums.pic.twitter.com/RSnykzs9Xf,he
Obama,2/04/2015 0:00,0,"This 9-year-old girl stood up for what she believes in, and the n got a letter back from the President:http://ofa.bo/b4Gc ",she
Obama,6/06/2015 0:00,0.495,"""Beau Biden was an original. he was a good man. A man of character. A man who loved deeply and was loved in return."" —President Obama",he
Obama,6/06/2015 0:00,0.466666667,"Read a few wise words from Beau Biden, and see the incredible legacy he leaves behind.http://ofa.bo/h75M ",he
Obama,27/06/2015 0:00,-0.2,"The President is acting where he can, but we need Congress to pass a comprehe nsive solution to fix our broken system. #ImmigrationAction",he
